Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Base Currency, Plan Type (Consol), Aggregation (Consol), Data Storage (Consol), Formula (Consol), Solve Order (Consol), Formula Description (Consol), Plan Type (Rates), Aggregation (Rates), Data Storage (Rates), Formula (Rates), Solve Order (Rates), Formula Description (Rates), Intercompany Entity, Operation
1615,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a5ea5c43-5498-4982-af4d-530cf22ca2a5,3539525420924955,1615,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1601,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e4b2beb0-b81f-4115-b43f-29409b2c5889,2926103969351017,1601,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1604,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8a68aff7-f66f-4b2c-92c9-efef3ce5f6a7,3042590604348992,1604,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1605,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,605829f0-1a1d-4e0a-aedc-9b4b78516275,1978640400665971,1605,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1606,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,baec2460-ab6d-4861-8089-4ad369eaefe8,3703301907172907,1606,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1607,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e32c4acb-1c1a-4f8d-94e3-750356ef8a2a,4106053106484298,1607,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1608,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,557d1568-ebbc-4664-9af7-c8e88a005e3d,4295904576884664,1608,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1609,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8b8325a3-8a94-4b98-b64d-be7e616ed460,3099311635123844,1609,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1611,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,48e407ae-e53b-4d27-8cbb-5180e61f3101,2896778055992807,1611,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1612,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1e3148fe-c18c-43d1-9a12-93a630c6fa9c,1232365506674761,1612,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1613,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5d86411e-bd53-478a-9ff8-3165f91ea2b9,4006110045881560,1613,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1616,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d6cd259f-38a7-4167-b893-d1f603fac340,3200027431092613,1616,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1641,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3952fc8e-5f60-44e0-8e93-9c77b703f973,4376104140556875,1641,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1644,01_016,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c4b5e9f9-990f-4468-9a53-500f5b697517,1481918326851977,1644,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_017,Energy Segment,Killdeer,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,00163bee-63a9-43d2-a6ce-695782031511,356720390849625,01_017,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_017Killdeer,01_017,BPS - KILLDEER,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1c051b2d-7c8b-4299-853b-7785528b523b,817854465003019,01_017Killdeer,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
117,01_017,Killdeer - PSC,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ccc11284-1a6e-4608-befe-7dadda41898d,3498050300039060,117,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_017A,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9e68a895-8937-4c22-97bc-ff342738a74a,4025561706220010,01_017A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_017B,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,52e398af-aa04-4569-9bef-962d79db57fd,996030205347507,01_017B,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1701,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0f01b859-66ae-4915-940b-fae80e956310,1731501298502405,1701,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1742,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,40ba9d5b-6d71-4ee5-8970-8ef669a20018,2821397740211348,1742,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1706,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,530a61d3-71be-42d0-8c71-0bf3c42f7ff1,4049894980731076,1706,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1703,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,62ebd061-e37c-4c3c-bf35-0b8b7076fb20,2410797489407839,1703,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1704,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,02f0a698-df80-4412-bd81-d7bc9f053611,2681718271067073,1704,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1705,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4fdbf589-98aa-4fdb-a6af-954e1752a2ad,521726061003162,1705,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1709,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c999661b-63dc-4d88-bcae-25e781cb256c,915966283825467,1709,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1711,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3ef9e0cb-56ff-4ab7-a586-e7a438f95683,323617258754026,1711,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
17A,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,99cf2721-29e6-4a9b-897e-0b4a769a1431,4140762913066292,17A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
17B,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,24979c65-09fe-4e54-b569-c77671a117ca,4062506943137060,17B,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1741,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2bcda970-a529-4a72-b381-275129e92a90,193084487125387,1741,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1708,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,522fb934-434c-4981-9276-8817fc04c07f,286896723543143,1708,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1743,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d2c44747-578c-40b3-bc07-5a637d0a8d49,326212181706209,1743,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1710,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3591b849-4d85-4f41-9d1e-fa9f08d6def1,2020414738613975,1710,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1713,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c6f2ba90-e6b2-40c0-a75d-04d825d6ddfd,1712673308886581,1713,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1707,01_017,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c1794dcb-1a88-4ec5-ae31-92352ace7f68,3118949072129486,1707,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Carlsbad Consolidated Branch,Energy Segment,Carlsbad & Artesia,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6b9852be-7d6f-4927-b0a2-78f4b5db04d1,3248372102678175,Carlsbad Consolidated Branch,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_022,Carlsbad Consolidated Branch,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0fb11456-24bc-4ef3-9b4d-9060762b1632,3982390347251716,01_022,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_022ARTESIA,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,47d89ce9-9dac-4e92-84c9-ef78a66614cc,4494352030189717,01_022ARTESIA,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
22,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,267b5fe6-911b-46a1-bc00-ca9f54a5253e,2843905391675045,22,[01_022].[22],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2218,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c9ceab18-fb29-4d34-b9cf-ac7f597861ce,4236983288613140,2218,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2222,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,62483e0c-3b9a-4887-ae5b-c8fc4d65e413,2573611870998392,2222,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2223,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9a486c52-bba8-4415-9894-65c740616e35,3359352035625312,2223,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2217,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,bbafe245-d20a-41ae-aec3-2b1d989e5e4e,2914366405361808,2217,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2224,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ed9f3561-edad-48be-8c6e-61fbf5f99e28,3954504257587029,2224,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2225,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,cd4f4d40-35a8-4ec5-a665-8ee147456240,4251435348871243,2225,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2220,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,367c7821-859a-424a-a259-c690a4778358,3060899175418886,2220,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2202,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,128565fe-db9d-4bb2-8a67-c9644985c978,3716305634478228,2202,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2210,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7eb8a1b7-b4ce-427e-b077-c9df3b4b969e,931269961928594,2210,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2212,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,19dfad72-26d0-48fd-aaf7-e87558c61589,2410680137958223,2212,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2219,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,deae0018-ed4f-4fe1-9a18-ee5aba4884c8,4013603305245427,2219,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2226,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0f035900-6e7f-4a00-84bb-7d1825e601c2,4200821082376296,2226,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2201,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3ead2329-f1b0-416b-b41b-30b87d4f9578,3576382820468689,2201,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2203,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,31e03148-3245-4a54-bbe9-3944ce786e3f,2447287240050905,2203,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2204,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d1aaacc0-bceb-44b4-8409-68a07d3a8e61,2325508437198887,2204,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2205,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,fbf885af-56f2-4c88-92f2-3d2d4dec042c,1304965536041382,2205,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2206,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,cf805272-60da-46bb-a31d-d35842bc06a2,1556143063318610,2206,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2207,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,05f1070e-3883-4937-8b12-a7002fe7eb23,2819812625105779,2207,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2208,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,80df343e-e6d9-42d4-b2a0-35c2d53a4da9,3617602125383139,2208,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2209,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a5a53aaa-cd58-4bea-a7e4-91210095bf98,3887123153961116,2209,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2211,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d08f4e77-c27e-4e8a-8954-3387df03dbd4,4132599467495239,2211,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2213,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a1cd1737-882f-4883-8540-fe7eb956b8b2,615878154801039,2213,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2215,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a29cc2cc-4099-4aff-922b-8f6e3f86ab32,4361404208268910,2215,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
22A,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9761043c-f7ad-4e36-ba20-23e5a5a18963,3777043120605812,22A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2214,01_022,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,969a9644-b49a-420d-a900-0ca10782b945,3461879348480746,2214,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_031,Carlsbad Consolidated Branch,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7d2e52bc-9790-4647-ae18-813b9dcc0cb6,3035564926127992,01_031,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_031CARLSBAD,01_031,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2232ab09-8971-4ff9-b0f6-fa34ecd00ede,436309789067927,01_031CARLSBAD,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
107,Carlsbad Consolidated Branch,Carlsbad - PSC,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d6a09e3b-d0cc-4201-9d66-870b3fb876ff,3401494942270001,107,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
02_001,Energy Segment,PSC - WAYNESBURG,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c7f8c2da-4ff1-4560-82be-670bcef42061,3962390614721915,02_001,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Williston Consolidated Branch,Energy Segment,Williston - Consolidated,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c2704587-b44a-4236-b772-d586118b6472,2914237573778027,Williston Consolidated Branch,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_021,Williston Consolidated Branch,Williston,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5dabf5d9-976b-4005-b3f2-be9bac24ec8a,3468163213249463,01_021,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_021Williston,01_021,BPS - WILLISTON,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c42705a4-30f6-4da5-9abe-3c9f2eea7f52,2171464738947246,01_021Williston,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2107,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e762bdc0-7f74-4a33-b549-2814756a0f46,2592346182140880,2107,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2104,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,fa7d90d7-b575-49d8-99bc-50c14495f3ca,3059655734806832,2104,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2105,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1b43d18d-b02c-4569-ae2d-aede97371ccf,955583624334210,2105,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2108,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0cbab10c-cb14-4f4a-adf3-c105d09f5ac7,733914714751289,2108,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2110,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b1a1c565-5899-4ff0-bbe3-9bda10635550,3802868884589891,2110,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2140,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9b8b176f-5e4d-49c7-94ba-fc3c069d2999,973429488633751,2140,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2120,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,bf24f230-2a2f-49aa-9aba-807edba0681e,1281233845504655,2120,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
21,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d7a88379-f9a9-4f96-9c2d-bc95fd420678,3109599409097086,21,[01_021].[21],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2109,01_021,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,08f6b8e0-a8c2-4b75-9b6f-791b195289cf,336148617054244,2109,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
02_004,Williston Consolidated Branch,PSC - WILLISTON,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ce58bfba-b25d-4f39-9609-446776ad2992,2773826976825822,02_004,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
119,Williston Consolidated Branch,Williston - PSC (new branch),false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,aede91ee-1f3a-4fdc-bba9-edba5f28e54a,1686387401575289,119,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
02_002,Energy Segment,PSC - OKLAHOMA CITY,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8b65cf92-9d2e-4e00-a90f-90dbb7d05493,4424615132810732,02_002,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Energy Consolidated Corp,Energy Segment,Energy Corp,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,40544f95-a94f-4897-a906-2619892e55fa,2350051323824821,Energy Consolidated Corp,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_039,Energy Consolidated Corp,BPS - 20EN,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,98fb48ce-1d67-4d5e-b5c0-da1459f326ee,2813330367204668,01_039,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
PSC Corp,Energy Consolidated Corp,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c993e69b-e0a1-4ded-a3e8-f332c1061c4e,660679995509488,PSC Corp,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
02_005,PSC Corp,PSC - Cannonsburg,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0b06bb8b-9476-4986-b8db-90b735b8d811,2420843323739452,02_005,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
02_003,Energy Segment,PSC - WILLIAMSPORT,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d83a2527-ea12-496f-9a69-22b34796d5fd,3968964096115616,02_003,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_024,Energy Segment,Pecos,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c8f2d076-3382-4a53-838c-2f39430e80e3,4308041381071902,01_024,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_024Pecos,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e70c4f7a-87a2-40dc-bf70-ad9ea604b596,3016466710218429,01_024Pecos,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
109,01_024,Pecos - PSC,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1118e28c-3abc-4c53-8bb1-333b405dfb92,3283225609063992,109,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2404,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,25be0b9b-e7aa-4807-98ec-04a0c6e63c70,1514850859632120,2404,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
24,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,91951954-4d02-4b55-8f05-073bd750478b,2622556292271266,24,[01_024].[24],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2405,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f464076a-eb3e-4454-a8ca-507aae9e8da8,4398511199633999,2405,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2407,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,648f347d-c459-41ff-a549-91549dc53264,2422666925133678,2407,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2401,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,aa444d80-dc0b-44d5-88a1-b8f5f2fcc0af,3043551602625334,2401,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2402,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ad35cbfd-7ba1-4b51-942c-6aa9cad7253f,1021261202474354,2402,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2403,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,860a72c3-f59e-49aa-81bb-82732a31ac1e,810662486165356,2403,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2406,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,de7347f7-8124-475f-be11-e422d3fa3375,3728255089329361,2406,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2408,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,bfe8689c-ec07-4400-9c51-0d19daafa9a7,2571281611050337,2408,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2409,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,530aa697-eb9e-4b0e-a254-c8c0fc6c6676,3995464656964222,2409,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2410,01_024,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,231e812e-d7f6-4047-9d2a-e60625e0c052,155881786787539,2410,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_023,Energy Segment,Midland,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,639213a0-4308-4869-bdaf-4e1c00907c72,1411390950556571,01_023,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
02_108,01_023,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,133472be-3aaa-4e8c-9ce9-d82de6667600,905662548496316,02_108,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_023Midland,01_023,BPS - MIDLAND,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0dae516a-762a-4628-82bd-d38bb7e8c2f3,3918653349644578,01_023Midland,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
23,01_023,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,22c18be8-070c-47de-9cad-35e7c6f78af8,1880376359405482,23,[01_023].[23],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2301,01_023,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,21e9ae57-408f-4a20-8faa-95703a2576d6,2133023524932258,2301,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
